"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_id","titular_pais_nacimiento_id"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-05-12","1993-09-08",1233,"LANUS Nº 7","Buenos Aires","Nacional","1993","12","SEDAN 4 PTAS","34","PEUGEOT","06","504 /SRDTCA","1","Privado","Física","LANUS OESTE","BUENOS AIRES","Masculino","1953","ESPAÑA",100,"06","ESP"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-05-03","2014-12-19",1228,"LA PLATA Nº 10","Buenos Aires","Nacional","2014","12","SEDAN 4 PUERTAS","08","CHEVROLET","DX","CLASSIC 4 P LS ABS+AIRBAG 1.4N","1","Privado","Física","LA PLATA","BUENOS AIRES","No identificado","1987","VENEZUELA",100,"06","VEN"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-05-31","1992-07-23",1227,"LA MATANZA Nº 10","Buenos Aires","Nacional","1992","12","12 - SEDAN 4 PUERTAS","17","FIAT","59","DUNA SCL 1.4","1","Privado","Física","VIRREY DEL PINO","BUENOS AIRES","Masculino","1972","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-05-07","2001-07-20",1227,"LA MATANZA Nº 10","Buenos Aires","Nacional","2001","12","SEDAN 4 PTAS","34","PEUGEOT","46","405STYLEDAA","1","Privado","Física","LAFERRERE","BUENOS AIRES","Femenino","1984","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-05-07","2015-09-30",1227,"LA MATANZA Nº 10","Buenos Aires","Nacional","2015","12","SEDAN 4 PUERTAS","08","CHEVROLET","DX","CLASSIC 4 P LS ABS+AIRBAG 1.4N","1","Privado","Física","GREGORIO DE LAFERRERE","BUENOS AIRES","No identificado","1993","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-05-05","1991-06-14",1231,"TRES DE FEBRERO Nº 5","Buenos Aires","Nacional","1991","12","SEDAN 4 PTAS","19","FORD","25","SIERRA GL","1","Privado","Física","LOMA HERMOSA","BUENOS AIRES","Masculino","1962","URUGUAY",100,"06","URY"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-05-10","1993-01-08",1223,"EZEIZA Nº 1 (EX. ESTEBAN ECHEVERRIA NO 4)","Buenos Aires","Nacional","1993","12","SEDAN 4 PTAS","37","RENAULT","80","RENAULT 9 GTL","1","Privado","Física","EZEIZA","BUENOS AIRES","Masculino","1964","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-05-10","2008-10-27",1074,"PILAR Nº 1","Buenos Aires","Nacional","2008","12","SEDAN 4 PTAS","07","CITROEN","49","C4 2.0I SX BVA","1","Privado","Física","PRESIDENTE DERQUI","BUENOS AIRES","Masculino","1987","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-05-12","2004-05-14",1219,"LA PLATA Nº 09","Buenos Aires","Nacional","2004","12","SEDAN 4 PTAS","53","VOLKSWAGEN","FP","POLO 1.6 MI  (3010) 31A","1","Privado","Física","LA PLATA","BUENOS AIRES","No identificado","1988","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-05-12","2012-03-29",1220,"AVELLANEDA Nº 6","Buenos Aires","Nacional","2012","12","SEDAN 4 PUERTAS","08","CHEVROLET","DC","CLASSIC 4 PTAS LS AA+DIR 1.4N","1","Privado","Física","WILDE","BUENOS AIRES","Femenino","1994","PARAGUAY",100,"06","PRY"
